dataset,encoder,decoder,model,run,fitness
iris,t,fs,IZ-B,8,0.95
iris,t,fs,IZ-B,9,0.93
iris,t,fs,IZ-B,10,0.88
iris,t,fs,IZ-C,0,0.93
iris,t,fs,IZ-C,1,0.94
iris,t,fs,IZ-C,2,0.94
iris,t,fs,IZ-C,3,0.94
iris,t,fs,IZ-C,4,0.94
iris,t,fs,IZ-C,5,0.93
iris,t,fs,IZ-C,6,0.94
iris,t,fs,IZ-C,7,0.95
iris,t,fs,IZ-C,8,0.95
iris,t,fs,IZ-C,9,0.92
iris,t,fs,IZ-C,10,0.93
iris,t,fs,IZ-D,0,0.92
iris,t,fs,IZ-D,1,0.93
iris,t,fs,IZ-D,2,0.91
iris,t,fs,IZ-D,3,0.91
iris,t,fs,IZ-D,4,0.93
iris,t,fs,IZ-D,5,0.93
iris,t,fs,IZ-D,6,0.96
iris,t,fs,IZ-D,7,0.93
iris,t,fs,IZ-D,8,0.91
iris,t,fs,IZ-D,9,0.93
iris,t,fs,IZ-D,10,0.94
iris,t,fs,IZ-E,0,0.93
iris,t,fs,IZ-E,1,0.95
iris,t,fs,IZ-E,2,0.92
iris,t,fs,IZ-E,3,0.92
iris,t,fs,IZ-E,4,0.91
iris,t,fs,IZ-E,5,0.94
iris,t,fs,IZ-E,6,0.95
iris,t,fs,IZ-E,7,0.93
iris,t,fs,IZ-E,8,0.97
iris,t,fs,IZ-E,9,0.94
iris,t,fs,IZ-E,10,0.94
iris,t,fs,IZ-F,0,0.94
iris,t,fs,IZ-F,1,0.93
iris,t,fs,IZ-F,2,0.94
iris,t,fs,IZ-F,3,0.95
iris,t,fs,IZ-F,4,0.94
iris,t,fs,IZ-F,5,0.93
iris,t,fs,IZ-F,6,0.94
iris,t,fs,IZ-F,7,0.95
iris,t,fs,IZ-F,8,0.95
iris,t,fs,IZ-F,9,0.94
iris,t,fs,IZ-F,10,0.94
iris,t,fs,IZ-G,0,0.92
iris,t,fs,IZ-G,1,0.94
iris,t,fs,IZ-G,2,0.94
iris,t,fs,IZ-G,3,0.9
iris,t,fs,IZ-G,4,0.93
iris,t,fs,IZ-G,5,0.93
iris,t,fs,IZ-G,6,0.93
iris,t,fs,IZ-G,7,0.92
iris,t,fs,IZ-G,8,0.93
iris,t,fs,IZ-G,9,0.92
iris,t,fs,IZ-G,10,0.92
iris,t,fs,IZ-H,0,0.95
iris,t,fs,IZ-H,1,0.92
iris,t,fs,IZ-H,2,0.94
iris,t,fs,IZ-H,3,0.94
iris,t,fs,IZ-H,4,0.88
iris,t,fs,IZ-H,5,0.96
iris,t,fs,IZ-H,6,0.9
iris,t,fs,IZ-H,7,0.94
iris,t,fs,IZ-H,8,0.9
iris,t,fs,IZ-H,9,0.9
iris,t,fs,IZ-H,10,0.94
iris,t,v,IZ-A,0,0.86
iris,t,v,IZ-A,1,0.89
iris,t,v,IZ-A,2,0.92
iris,t,v,IZ-A,3,0.92
iris,t,v,IZ-A,4,0.92
iris,t,v,IZ-A,5,0.87
iris,t,v,IZ-A,6,0.9
iris,t,v,IZ-A,7,0.9
iris,t,v,IZ-A,8,0.92
iris,t,v,IZ-A,9,0.91
iris,t,v,IZ-A,10,0.89
iris,t,v,IZ-B,0,0.92
iris,t,v,IZ-B,1,0.91
iris,t,v,IZ-B,2,0.93
iris,t,v,IZ-B,3,0.92
iris,t,v,IZ-B,4,0.89
iris,t,v,IZ-B,5,0.92
iris,t,v,IZ-B,6,0.91
iris,t,v,IZ-B,7,0.93
iris,t,v,IZ-B,8,0.91
iris,t,v,IZ-B,9,0.89
iris,t,v,IZ-B,10,0.95
iris,t,v,IZ-C,0,0.97
iris,t,v,IZ-C,1,0.85
iris,t,v,IZ-C,2,0.96
iris,t,v,IZ-C,3,0.95
iris,t,v,IZ-C,4,0.95
iris,t,v,IZ-C,5,0.95
iris,t,v,IZ-C,6,0.95
iris,t,v,IZ-C,7,0.94
iris,t,v,IZ-C,8,0.92
iris,t,v,IZ-C,9,0.94
iris,t,v,IZ-C,10,0.88
iris,t,v,IZ-D,0,0.94
iris,t,v,IZ-D,1,0.91
iris,t,v,IZ-D,2,0.92
iris,t,v,IZ-D,3,0.96
iris,t,v,IZ-D,4,0.95
iris,t,v,IZ-D,5,0.95
iris,t,v,IZ-D,6,0.94
iris,t,v,IZ-D,7,0.95
iris,t,v,IZ-D,8,0.93
iris,t,v,IZ-D,9,0.95
iris,t,v,IZ-D,10,0.91
iris,t,v,IZ-E,0,0.93
iris,t,v,IZ-E,1,0.94
iris,t,v,IZ-E,2,0.9
iris,t,v,IZ-E,3,0.94
iris,t,v,IZ-E,4,0.93
iris,t,v,IZ-E,5,0.94
iris,t,v,IZ-E,6,0.93
iris,t,v,IZ-E,7,0.85
iris,t,v,IZ-E,8,0.92
iris,t,v,IZ-E,9,0.92
iris,t,v,IZ-E,10,0.95
iris,t,v,IZ-F,0,0.88
iris,t,v,IZ-F,1,0.9
iris,t,v,IZ-F,2,0.82
iris,t,v,IZ-F,3,0.82
iris,t,v,IZ-F,4,0.9
iris,t,v,IZ-F,5,0.82
iris,t,v,IZ-F,6,0.87
iris,t,v,IZ-F,7,0.9
iris,t,v,IZ-F,8,0.86
iris,t,v,IZ-F,9,0.86
iris,t,v,IZ-F,10,0.84
iris,t,v,IZ-G,0,0.91
iris,t,v,IZ-G,1,0.85
iris,t,v,IZ-G,2,0.9
iris,t,v,IZ-G,3,0.94
iris,t,v,IZ-G,4,0.94
iris,t,v,IZ-G,5,0.92
iris,t,v,IZ-G,6,0.88
iris,t,v,IZ-G,7,0.9
iris,t,v,IZ-G,8,0.93
iris,t,v,IZ-G,9,0.92
iris,t,v,IZ-G,10,0.94
